pmid,title,abstract,year,journal,doi,publication_date,authors,keywords,alignment_score,tfidf_alignment_score,is_outlier
33614424,New Year's greeting and overview of World Journal of Orthopedics in 2021.,"On behalf of the Editorial Office of World Journal of Orthopedics ( WJO ), we extend our sincere gratitude to our authors, subscribers, readers, Editorial Board members, and peer reviewers, thanking each and every one for their contributions to WJO in 2020 and with wishes for a Happy New Year. It was the support of all our Editorial Board members and peer reviewers that allowed the Baishideng Publishing Group Inc to successfully carry out the complete peer review, editing and publishing processes for WJO in 2020. We have analyzed the data of WJO 's manuscript submissions and article publications in 2020, the invited manuscripts for 2021, manuscript peer review, composition of Editorial Board, and citation of WJO 's articles, and present the findings here. We expect to be even more productive and to further raise the academic rank of WJO in 2021.",2021,World journal of orthopedics,10.5312/wjo.v12.i2.56,2021-02-18,Jin-Lei Wang; Massimiliano Leigheb,Acknowledgments; Editorial Board; Journal development; New Year's message; World Journal of Orthopedics,0.7121867713677479,0.23018265833085214,True
41695741,"Orthopedic trinity: Arthroscopy, sports medicine, and regenerative orthopedics.","Musculoskeletal conditions are among the leading causes of disability worldwide, necessitating the development of effective, specialized treatment approaches. In response, orthopedic practice has evolved into three distinct specialties: Arthroscopy, sports medicine, and regenerative orthopedics. Each domain represents a fundamentally different approach to musculoskeletal care: Arthroscopy addresses structural pathology through surgical intervention, sports medicine optimizes function through rehabilitation, and regenerative orthopedics modulates healing through biological therapies. These distinct methodologies serve different patient populations and clinical scenarios, requiring specialized training, equipment, and expertise. This review explores the historical evolution, unique therapeutic modalities, and independent clinical applications of these three fields, with emphasis on the Indian orthopedic landscape. Through a narrative synthesis of literature indexed in PubMed, Scopus, and peer-reviewed Indian sources, we delineate specific indications, outcome metrics, and innovations unique to each specialty. The future of orthopedic care lies not in forced integration but in the strategic application of the most appropriate specialty for each clinical scenario, ensuring optimal resource utilization and maintaining clinical excellence within each distinct discipline.",2026,World journal of orthopedics,10.5312/wjo.v17.i2.113197,2026-02-18,Madhan Jeyaraman; A S P V S Saketh; Naveen Jeyaraman; Swaminathan Ramasubramanian; Arulkumar Nallakumarasamy; Sathish Muthu,Arthroscopy; Orthopedic subspecialties; Regenerative orthopedics; Specialized care; Sports medicine,0.6698190300864599,0.17173768089192523,True
37662667,Scientific publications on orthopedic surgery from three major East Asian countries (2012-2021).,"BACKGROUND: East Asia is the most dynamic region in the world and includes three major countries: Japan, South Korea and China. Due to rapid economic growth, orthopedics research in East Asia has achieved great advances during the past 10 years. However, the current status of orthopedic research in Japan, South Korea and China is still unclear. AIM: To understand the current status of orthopedic research in Japan, South Korea, and China. METHODS: Journals listed in the ''Orthopedics'' category of Science Citation Index Expanded subject categories were included. The PubMed and Web of Knowledge electronic databases were searched to identify scientific publications from the selected journals written by researchers from Japan, South Korea and China. A systematic analysis was conducted to analyze orthopedic research articles published in the three countries based on the number of articles, study design, impact factors (IFs) and citations. Furthermore, we also ranked the top 10 countries worldwide with the highest publications in the past 10 years. Additionally, we ranked the top 10 countries with the highest number of publications in the world in the past 10 years. Statistical analyses were performed using SPSS 20.0 software (SPSS Inc., Chicago, IL, United States), and statistical results are given in Tables and Figures. The Kruskal-Wallis test and the Mann-Whitney test were used to detect differences between countries. The tendency regarding the number of articles was analyzed by curvilinear regression. A two-tailed P < 0.05 was considered significant. RESULTS: From 2012-2021, a total of 144518 articles were published in the 86 selected orthopedic journals. During this period, the number of worldwide published orthopedic articles has shown an annual increasing trend. A total of 27164 orthopedic research articles were published by Japan, South Korea and China during the past 10 years; 44.32% were from China, 32.98% were from Japan, and 22.70% were from South Korea. From 2012 to 2021, the annual number of articles markedly increased in each of the three countries. Over time, the worldwide share of articles increased substantially in South Korea (3.37% to 6.53%, P < 0.001) and China (5.29% to 9.61%, P < 0.001). However, the worldwide share of articles significantly decreased in Japan (5.22% to 3.80%, P < 0.001). The annual total IFs of articles from China were well above those of articles from Japan and South Korea (36597.69 vs 27244.48 vs 20657.83, P < 0.05). There was no significant difference among the articles in the top 10 high-IF orthopedics journals published from those three countries [South Korea (800) > China (787) > Japan (646), P > 0.05]. CONCLUSION: Over the past 10 years, China's scientific publications in orthopedic journals have shown an increasing trend. Considering the relative scale of the populations, Japan and South Korea have outpaced China with respect to quality.",2023,World journal of orthopedics,10.5312/wjo.v14.i8.641,2023-08-18,Wei-You Chen; Xin Xiao; Cheng Pan; Fei-Hong Huang; Hong-Yuan Xu; Qing-Jun Wei; Hua Jiang,China; Japan; Medical publication; Orthopedics; Research; South Korea,0.6583641372531737,0.1512710367957235,True
33816143,Bibliometric analysis of research on the effects of human immunodeficiency virus in orthopaedic and trauma surgery.,"BACKGROUND: There is little research investigating how human immunodeficiency virus (HIV) affects outcomes in orthopaedic surgery. With advances in treatment, HIV has become a chronic health problem and the chance of orthopaedic surgeons encountering it in clinical practice is increasing. AIM: To ascertain the quantity and quality of peer-reviewed publications in orthopaedic journals about HIV. METHODS: A search of the Web of Science database was carried out, identifying any articles relating to HIV published in orthopaedic journals. These were assessed for geographic origin and level of evidence. RESULTS: Of 48.7% of orthopaedic journals listed on the Web of Science database had published articles relating to HIV. There were 168 articles about HIV in orthopaedic journals with only 40.5% ( n = 68) published in the time frame we analysed (January 2007 to September 2017). Very few articles came from low-income countries and any articles published from that setting were collaborations. All of the articles were low level of evidence. CONCLUSION: There is a need for more high level orthopaedic and trauma research investigating the effects of HIV, particularly research from low-income countries, where higher level research will help to guide improvements in their treatment of its musculoskeletal manifestations and complications.",2021,World journal of orthopedics,10.5312/wjo.v12.i3.169,2021-03-18,Ciaran Brennan; Maritz Laubscher; Sithombo Maqungo; Simon Matthew Graham,Analysis; Bibliometric analysis; Human immunodeficiency virus; Orthopaedic; Research,0.6347328754335942,0.12255892819776062,True
36312521,Baishideng's Reference Citation Analysis database announces the first Journal Article Influence Index of 104 core journals and a list of high-quality academic journals in orthopedics.,"After three rounds of rigorous evaluation of core journals in orthopedics conducted by the Reference Citation Analysis ( RCA ) editorial team of Baishideng Publishing Group (Baishideng), the RCA database of Baishideng officially released the 2022 Journal Article Influence Index (2022 JAII ) of 104 core journals and a list of high-quality academic journals in orthopedics, for the first time on August 9, 2022. The list of 104 core journals can be found at: https://www.referencecitationanalysis.com/SearchJournal. Among them, the highest 2022 JAII is 55.015 and the lowest is 3.076. This article introduces the 21 high-quality academic journals and describes the calculation method for the 2022 JAII , the evaluation process, and the inclusion principles for journals in the RCA . These steps are the underpinning of the RCA 's empirical journal academic evaluation service by which the digital platform addresses the needs of authors to select reliable journals for submission, readers to select high-quality literature for reading, and editors to track their own journal citation performance. As such, the RCA core journal list will serve as a useful Find-a-Journal tool. Any interested party is welcome to use this journal list and recommend it to their peers.",2022,World journal of orthopedics,10.5312/wjo.v13.i10.891,2022-10-18,Jin-Lei Wang; Yu-Jie Ma; Li Ma; Na Ma; Diao-Mei Guo; Lian-Sheng Ma,Announcement; Find a journal; Journal Article Influence Index; Journal list; Orthopedics; Reference Citation Analysis,0.6003662298564036,0.25523236824917656,True
41480508,Advancing global orthopedic research through culturally adapted outcome measures.,"Patient-reported outcome measures (PROMs) are essential in orthopedic research and clinical practice, promoting standardized assessments of treatment efficacy and patient well-being. However, their validity across diverse populations depends on rigorous processes of translation, cultural adaptation, and validation. AlMousa et al successfully validated the Arabic version of the American Academy of Orthopedic Surgeons Foot and Ankle Outcomes Questionnaire, demonstrating strong reliability and clinical applicability for Arabic-speaking patients with traumatic foot and ankle injuries. This article highlights the vital role of culturally adapted PROMs in expanding the global scope of orthopedic research, enhancing patient-centered care, and promoting international collaboration. By addressing linguistic and cultural barriers, such adaptations support a more comprehensive and inclusive approach to evidence-based medicine. Future research should aim to optimize the integration of adapted PROMs into clinical practice, evaluate their influences on treatment decision-making, and investigate their functions in large-scale multicenter studies to further globally advance orthopedic research.",2025,World journal of orthopedics,10.5312/wjo.v16.i12.111583,2025-12-18,Yao Peng; Qiang-Qiang You; Fa Shu; Jia-Qi Zhang,Cultural adaptation; Evidence-based medicine; Foot and ankle injuries; Orthopedic research; Patient-reported outcome measures,0.5747899060489854,0.16663904573379207,True
39473516,Evidence-based orthobiologic practice: Current evidence review and future directions.,"The field of orthopedic and regenerative medicine is rapidly evolving with the increasing utilization of orthobiologic. These biologically derived therapies, including platelet-rich plasma, mesenchymal stem cells, bone marrow aspirate concentrate, stromal vascular fraction (SVF), and autologous chondrocyte implantation, are gaining traction for their potential to enhance the body's natural healing processes. They offer a promising alternative to traditional surgical interventions for musculoskeletal injuries and degenerative conditions. Current evidence suggests significant benefits of orthobiologics in treating conditions like osteoarthritis, tendon injuries, and spinal disorders, yet inconsistencies in treatment protocols and outcomes persist. The global market for orthobiologics is projected to grow substantially, driven by advancements in biologic therapies such as adipose-derived stem cells and SVF, and the demand for minimally invasive treatments. Despite their promise, regulatory and ethical challenges, as well as the need for high-quality, standardized research, remain significant obstacles. Future directions in the field include advancements in delivery systems, personalized medicine approaches, and the exploration of novel sources like induced pluripotent stem cells, aiming for more targeted and effective treatments. Collaborative efforts are crucial to overcoming these challenges and ensuring the safe and effective application of orthobiologics in clinical practice.",2024,World journal of orthopedics,10.5312/wjo.v15.i10.908,2024-10-18,Madhan Jeyaraman; Naveen Jeyaraman; Swaminathan Ramasubramanian; Sangeetha Balaji; Sathish Muthu,Evidence-based medicine; Musculoskeletal regeneration; Orthobiologics; Platelet-rich plasma; Regenerative medicine; Stem cells,0.5652846492779449,0.12916934307154593,True
39850040,Limited evidence to support demineralized bone matrix in foot and ankle surgical procedures: A systematic review.,"BACKGROUND: Demineralized bone matrix (DBM) is a commonly utilized allogenic bone graft substitute to promote osseous union. However, little is known regarding outcomes following DBM utilization in foot and ankle surgical procedures. AIM: To evaluate the clinical and radiographic outcomes following DBM as a biological adjunct in foot and ankle surgical procedures. METHODS: During May 2023, the PubMed, EMBASE and Cochrane library databases were systematically reviewed to identify clinical studies examining outcomes following DBM for the management of various foot and ankle pathologies. Data regarding study characteristics, patient demographics, subjective clinical outcomes, radiological outcomes, complications, and failure rates were extracted and analyzed. In addition, the level of evidence (LOE) and quality of evidence (QOE) for each individual study was also assessed. Thirteen studies were included in this review. RESULTS: In total, 363 patients (397 ankles and feet) received DBM as part of their surgical procedure at a weighted mean follow-up time of 20.8 ± 9.2 months. The most common procedure performed was ankle arthrodesis in 94 patients (25.9%). Other procedures performed included hindfoot fusion, 1st metatarsophalangeal joint arthrodesis, 5th metatarsal intramedullary screw fixation, hallux valgus correction, osteochondral lesion of the talus repair and unicameral talar cyst resection. The osseous union rate in the ankle and hindfoot arthrodesis cohort, base of the 5 th metatarsal cohort, and calcaneal fracture cohort was 85.6%, 100%, and 100%, respectively. The weighted mean visual analog scale in the osteochondral lesions of the talus cohort improved from a pre-operative score of 7.6 ± 0.1 to a post-operative score of 0.4 ± 0.1. The overall complication rate was 27.2%, the most common of which was non-union (8.8%). There were 43 failures (10.8%) all of which warranted a further surgical procedure. CONCLUSION: This current systematic review demonstrated that the utilization of DBM in foot and ankle surgical procedures led to satisfactory osseous union rates with favorable wound complication rates. Excellent outcomes were observed in patients undergoing fracture fixation augmented with DBM, with mixed evidence supporting the routine use of DBM in fusion procedures of the ankle and hindfoot. However, the low LOE together with the low QOE and significant heterogeneity between the included studies reinforces the need for randomized control trials to be conducted to identify the optimal role of DBM in the setting of foot and ankle surgical procedures.",2025,World journal of orthopedics,10.5312/wjo.v16.i1.97848,2025-01-18,Hayden Hartman; James J Butler; Megan Calton; Charles C Lin; Samantha Rettig; Jared C Tishelman; Sebastian Krebsbach; Grace W Randall; John G Kennedy,Allogenic bone graft; Arthrodesis; Biological adjunct; Bone morphogenetic proteins; Demineralized bone matrix; Lower limb fusion; Systematic review; osseous union,0.5641109174696832,0.12794482166872304,True
29094011,Scaffolds based therapy for osteochondral lesions of the talus: A systematic review.,"AIM: To clarify the effectiveness of scaffold-based therapy for osteochondral lesions of the talus (OLT). METHODS: A systematic search of MEDLINE and EMBASE databases was performed during August 2016 and updated in January 2017. Included studies were evaluated with regard to the level of evidence (LOE) and quality of evidence (QOE) using the Modified Coleman Methodology Score. Variable reporting outcome data, clinical outcomes, and the percentage of patients who returned to sport at previous level were also evaluated. RESULTS: Twenty-eight studies for a total of 897 ankles were included; 96% were either LOE III or IV. Studies were designated as either of poor or fair quality. There were 30 treatment groups reporting six different scaffold repair techniques: 13 matrix-induced autologous chondrocyte transplantation (MACT), nine bone marrow derived cell transplantation (BMDCT), four autologous matrix-induced chondrogeneis (AMIC), and four studies of other techniques. The categories of general demographics (93%) and patient-reported outcome data (85%) were well reported. Study design (73%), imaging data (73%), clinical variables (49%), and patient history (30%) were also included. The weighted mean American Orthopaedic Foot and Ankle Society (AOFAS) score at final follow-up was: 86.7 in MACT, 88.2 in BMDCT, and 82.3 in AMIC. Eight studies reported that a weighted mean of 68.3% of patients returned to a previous level of sport activity. CONCLUSION: Scaffold-based therapy for OLT may produce favorable clinical outcomes, but low LOE, poor QOE, and variability of the data have confounded the effectiveness of this treatment.",2017,World journal of orthopedics,10.5312/wjo.v8.i10.798,2017-10-18,Yoshiharu Shimozono; Youichi Yasui; Andrew W Ross; Wataru Miyamoto; John G Kennedy,Ankle; Cartilage; Scaffold; Systematic review; Talar osteochondral lesion,0.5591478458161401,0.11655381438636976,True
41608494,Factors associated with aseptic loosening after primary total hip arthroplasty: A systematic review and meta-analysis.,"BACKGROUND: Aseptic loosening remains the leading cause of revision in primary total hip arthroplasty (pTHA). However, the literature demonstrates significant variability regarding the relative contributions of different factors. AIM: To investigate the key determinants of aseptic loosening, we performed a systematic review and meta-analysis. METHODS: A comprehensive search of PubMed, Web of Science, EMBASE, and the Cochrane Library was conducted, encompassing studies from database inception to January 1, 2025. Meta-analyses were performed to evaluate factors associated with aseptic loosening following pTHA. Inclusion and exclusion criteria were systematically applied at each stage to ensure methodological transparency and reproducibility. Study quality was assessed using standardized categories. Pooled odds ratio (OR) with corresponding 95% confidence interval were calculated with random- or fixed-effects models to generate reliability estimates, and study heterogeneity was visualized using forest plots. Ten factors, categorized into patient-, surgeon-, and device-related domains, were reviewed and meta-analyzed. Funnel plot analysis demonstrated a relatively symmetrical distribution, suggesting minimal publication bias. RESULTS: A meta-analysis of 20 studies (520789 participants) found a pooled prevalence of 1.96%. Significant risk factors for aseptic loosening after pTHA included elevated body mass index (OR = 1.116, P < 0.001), higher Charlson comorbidity index (OR = 1.378, P < 0.001), prosthesis-related factors (OR = 1.497, P < 0.001), and adverse lifestyles (OR = 2.198, P = 0.037). Protective factors were non-white race (OR = 0.445, P < 0.001) and favorable genetics (OR = 0.723, P < 0.001). Male sex increased risk (OR = 1.232, P = 0.016), while age and anatomy were not significant. Surgical expertise showed a slight protective effect (OR = 1.048, P < 0.001). A comprehensive understanding of the modifiable and non-modifiable factors contributing to aseptic loosening after pTHA requires consideration of patient-related factors, surgical expertise, and prosthesis characteristics. CONCLUSION: The identification of these factors is critical for risk mitigation. High-risk patients should receive targeted counseling regarding individualized profiles. Further studies are warranted to establish clearer causal relationships and identify additional contributing factors.",2026,World journal of orthopedics,10.5312/wjo.v17.i1.114482,2026-01-18,Guo-Qing Li; Ji Zhang; Yong Huang,Aseptic loosening; Factors; Meta-analysis; Primary total hip arthroplasty; Systematic review,0.55557656417792,0.10691195830401058,True
